"id","estacion_id","estacion_nombre","var_id","var_nombre","proc_id","proc_nombre","unit_id","unit_nombre","tabla","id_externo"
42410,8037,"Pirhuani",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Pirhuani"
42411,8038,"Potolo",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Potolo"
42412,8039,"Potosi - Aero",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Potosi - Aero"
42413,8040,"Potosi - Ciudad",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Potosi - Ciudad"
42414,8041,"Puente Aruma",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Puente Aruma"
42415,8042,"Puente Sucre",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Puente Sucre"
42416,8043,"Puente Talula",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Puente Talula"
42417,8044,"Puerto Margarita",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Puerto Margarita"
42418,8045,"Puna",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Puna"
42419,8046,"Quebrada de Cajas",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Quebrada de Cajas"
42420,8047,"Quila Quila",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Quila Quila"
42421,8048,"Ramadas",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Ramadas"
42422,8049,"Ravelo",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Ravelo"
42423,8050,"Rosario del Ingre",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Rosario del Ingre"
42424,8051,"Sachapera",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Sachapera"
42425,8052,"Saladito Centro",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Saladito Centro"
42426,8053,"Samasa",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Samasa"
42427,8054,"San Antonio de Esmoruco",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","San Antonio de Esmoruco"
42428,8055,"San Jose de Pampa Grande",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","San Jose de Pampa Grande"
42429,8056,"San Josecito",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","San Josecito"
42430,8057,"San Lucas",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","San Lucas"
42431,8058,"San Luis de Palqui",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","San Luis de Palqui"
42432,8059,"San Pablo de Lipez",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","San Pablo de Lipez"
42433,8060,"San Roque",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","San Roque"
42434,8061,"Santa Elena",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Santa Elena"
42435,8062,"Sucre Aero",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Sucre Aero"
42436,8063,"Sucre Ciudad",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Sucre Ciudad"
42437,8064,"Tacobamba",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tacobamba"
42438,8065,"Talina",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Talina"
42439,8066,"Talula - Automatica",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Talula - Automatica"
42440,8067,"Tarabuco",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tarabuco"
42441,8068,"Tarapaya",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tarapaya"
42442,8069,"Tarupayo",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tarupayo"
42443,8070,"Tica Tica",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tica Tica"
42444,8071,"Tiguipa",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tiguipa"
42445,8072,"Timboy",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Timboy"
42446,8073,"Tinguipaya",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tinguipaya"
42447,8074,"Tojo",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tojo"
42448,8075,"Tumusla",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tumusla"
42449,8076,"Tupiza",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tupiza"
42450,8077,"Turuchipa",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Turuchipa"
42451,8078,"Villa Abecia",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Villa Abecia"
42452,8079,"Villa Montes",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Villa Montes"
42453,8080,"Villamontes Aero",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Villamontes Aero"
42454,8081,"Villazon",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Villazon"
42455,8082,"Viña Quemada",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Viña Quemada"
42456,8083,"Vitichi",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Vitichi"
42457,8084,"Yamparaez",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Yamparaez"
42458,8085,"Yocalla",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Yocalla"
42459,8086,"Yotala",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Yotala"
42460,8087,"Yunchara",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Yunchara"
42461,8088,"Yuticancha",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Yuticancha"
42462,8089,"Zurita",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Zurita"
42582,8194,"Cruce Ventilla",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Cruce Ventilla"
42583,8195,"Huacareta",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Huacareta"
42584,8196,"Tarija SENAMHI",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tarija SENAMHI"
42585,8197,"El Salvador",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","El Salvador"
42586,8198,"Villamontes",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Villamontes"
42587,8199,"Tartagal",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tartagal"
42588,8200,"Yacuiba",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Yacuiba"
42589,8201,"Itau",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Itau"
42590,8202,"Entre Rios",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Entre Rios"
42591,8203,"Algarrobilla",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Algarrobilla"
42592,8204,"Tarija Aero",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Tarija Aero"
42593,8205,"Padcaya",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Padcaya"
42594,8206,"Narvaez",1,"precipitación diaria 12Z",6,"Análisis",22,"milímetros por día","ctp","Narvaez"
