Quila Quila,8047,42420,,,0,,
Ramadas,8048,42421,2006-01-01 09:00:00,2020-03-21 09:00:00,1270,0,60
Ravelo,8049,42422,2006-01-02 09:00:00,2024-12-23 09:00:00,2701,0,94.5
Rosario del Ingre,8050,42423,2006-01-03 09:00:00,2024-12-30 09:00:00,2793,0,120
Sachapera,8051,42424,2007-01-15 09:00:00,2024-12-23 09:00:00,2478,0,250
Saladito Centro,8052,42425,2006-01-03 09:00:00,2020-03-29 09:00:00,1525,0,120.7
Samasa,8053,42426,2009-01-02 09:00:00,2024-12-23 09:00:00,2078,0,30.2
San Antonio de Esmoruco,8054,42427,2006-01-02 09:00:00,2020-03-19 09:00:00,1254,0,20.2
San Jose de Pampa Grande,8055,42428,2006-01-03 09:00:00,2020-03-26 09:00:00,1422,0,57.5
San Josecito,8056,42429,2006-01-01 09:00:00,2025-05-20 09:00:00,3332,0,168
San Lucas,8057,42430,2006-01-01 09:00:00,2024-12-31 09:00:00,2343,0,47
San Luis de Palqui,8058,42431,2006-01-01 09:00:00,2020-03-03 09:00:00,1311,0,44.2
San Pablo de Lipez,8059,42432,2009-01-02 09:00:00,2024-12-22 09:00:00,1830,0,24
San Roque,8060,42433,,,0,,
Santa Elena,8061,42434,2006-01-01 09:00:00,2020-03-29 09:00:00,1986,0,105.7
Sucre Aero,8062,42435,2006-01-01 09:00:00,2016-05-02 09:00:00,1622,0,81.5
Sucre Ciudad,8063,42436,2008-12-10 09:00:00,2025-05-05 09:00:00,2229,0,68.4
Tacobamba,8064,42437,2006-01-01 09:00:00,2020-03-26 09:00:00,1726,0,47.3
Talina,8065,42438,2006-01-01 09:00:00,2020-03-26 09:00:00,1591,0,51
Talula - Automatica,8066,42439,2006-01-01 09:00:00,2024-12-23 09:00:00,2905,0,86
Tarabuco,8067,42440,2006-01-01 09:00:00,2024-12-25 09:00:00,2635,0,56.8
Tarapaya,8068,42441,2006-01-01 09:00:00,2025-05-23 09:00:00,3155,0,56.1
Tarupayo,8069,42442,2006-01-03 09:00:00,2020-03-29 09:00:00,1392,0,140
Tica Tica,8070,42443,2006-01-03 09:00:00,2020-03-21 09:00:00,1630,0,35
Tiguipa,8071,42444,2006-01-03 09:00:00,2020-03-23 09:00:00,1639,0,172
Timboy,8072,42445,2006-01-02 09:00:00,2020-03-28 09:00:00,1591,0,130.9
Tinguipaya,8073,42446,1975-01-02 09:00:00,2025-05-23 09:00:00,12315,0,51
Tojo,8074,42447,2006-01-01 09:00:00,2020-03-25 09:00:00,1358,0,35.7
Tumusla,8075,42448,2006-01-03 09:00:00,2025-05-22 09:00:00,2377,0,63.4
Tupiza,8076,42449,2006-01-01 09:00:00,2025-05-23 09:00:00,2319,0,54.8
Turuchipa,8077,42450,2006-01-01 09:00:00,2020-03-26 09:00:00,1390,0,88.5
Villa Abecia,8078,42451,2006-01-06 09:00:00,2020-03-23 09:00:00,1272,0,59.5
Villa Montes,8079,42452,,,0,,
Villamontes Aero,8080,42453,2007-01-05 09:00:00,2025-03-28 09:00:00,2640,0,177.1
Villazon,8081,42454,2009-01-01 09:00:00,2024-12-31 09:00:00,1881,0,64
Viña Quemada,8082,42455,2006-01-04 09:00:00,2024-12-25 09:00:00,2340,0,75
Vitichi,8083,42456,2006-01-01 09:00:00,2020-03-20 09:00:00,1364,0,54
Yamparaez,8084,42457,2006-01-01 09:00:00,2020-03-27 09:00:00,1565,0,65.1
Yocalla,8085,42458,2006-01-01 09:00:00,2025-03-20 09:00:00,2465,0,36
Yotala,8086,42459,2006-01-01 09:00:00,2021-05-31 09:00:00,1922,0,68
Yunchara,8087,42460,2006-01-01 09:00:00,2020-03-26 09:00:00,1352,0,70
Yuticancha,8088,42461,2017-04-20 09:00:00,2019-11-23 09:00:00,328,0,26.4
Zurita,8089,42462,2016-11-06 09:00:00,2021-04-04 09:00:00,601,0,26.8
Cruce Ventilla,8194,42582,2006-01-02 09:00:00,2020-03-26 09:00:00,1994,0,40
Huacareta,8195,42583,2006-01-01 09:00:00,2020-03-28 09:00:00,2086,0,107.1
Tarija SENAMHI,8196,42584,2017-02-01 09:00:00,2025-05-19 09:00:00,1389,0,110
El Salvador,8197,42585,,,0,,
Villamontes,8198,42586,2006-01-06 09:00:00,2025-03-28 09:00:00,2693,0,153.6
Tartagal,8199,42587,2006-01-03 09:00:00,2025-03-27 09:00:00,3128,0,186
Yacuiba,8200,42588,2007-01-05 09:00:00,2025-03-28 09:00:00,2938,0,192.4
Itau,8201,42589,2007-01-11 09:00:00,2024-12-24 09:00:00,2163,0,110
Entre Rios,8202,42590,2010-01-07 09:00:00,2024-12-31 09:00:00,2648,0,114
Algarrobilla,8203,42591,2007-01-12 09:00:00,2021-01-30 09:00:00,1404,0,205
Tarija Aero,8204,42592,2006-01-01 09:00:00,2025-05-23 09:00:00,3036,0,87.2
Padcaya,8205,42593,2006-01-01 09:00:00,2013-02-28 09:00:00,846,0,40.1
Narvaez,8206,42594,2007-01-04 09:00:00,2024-12-31 09:00:00,2807,0,167
